"Timestamp","Name:","DET-ANA","DET-ANA series length:","VAN-CHI","VAN-CHI series length:","BOS-CAR","BOS-CAR series length:","WSH-PIT","WSH-PIT series length:"
"N/A","Andre D","Detroit Red Wings","6 Games","Vancouver Canucks","7 Games","Boston Bruins","6 Games","Pittsburgh Penguins","7 Games"
"N/A","Andrew D","Detroit Red Wings","5 Games","Vancouver Canucks","6 Games","Boston Bruins","6 Games","Washington Capitals","6 Games"
"N/A","Andy H","Detroit Red Wings","6 Games","Vancouver Canucks","5 Games","Boston Bruins","6 Games","Washington Capitals","7 Games"
"N/A","Daniel S","Detroit Red Wings","6 Games","Chicago Blackhawks","6 Games","Boston Bruins","5 Games","Pittsburgh Penguins","6 Games"
"N/A","David D","Anaheim Ducks","6 Games","Vancouver Canucks","6 Games","Boston Bruins","6 Games","Pittsburgh Penguins","6 Games"
"N/A","Harry L","Detroit Red Wings","6 Games","Vancouver Canucks","7 Games","Carolina Hurricanes","5 Games","Washington Capitals","4 Games"
"N/A","Isamu M","Anaheim Ducks","7 Games","Chicago Blackhawks","6 Games","Boston Bruins","6 Games","Pittsburgh Penguins","7 Games"
"N/A","Joseph O","Detroit Red Wings","6 Games","Vancouver Canucks","7 Games","Boston Bruins","7 Games","Washington Capitals","6 Games"
"N/A","Kollin H","Detroit Red Wings","6 Games","Chicago Blackhawks","6 Games","Boston Bruins","6 Games","Washington Capitals","6 Games"
"N/A","Kyle L","Detroit Red Wings","6 Games","Vancouver Canucks","4 Games","Boston Bruins","6 Games","Pittsburgh Penguins","7 Games"
"N/A","Mark D","Detroit Red Wings","5 Games","Vancouver Canucks","5 Games","Boston Bruins","4 Games","Pittsburgh Penguins","6 Games"
"N/A","Michael D","Anaheim Ducks","7 Games","Vancouver Canucks","6 Games","Boston Bruins","6 Games","Washington Capitals","7 Games"
"N/A","Sheldon L","Detroit Red Wings","6 Games","Vancouver Canucks","5 Games","Boston Bruins","6 Games","Pittsburgh Penguins","7 Games"
"N/A","Thomas L","Detroit Red Wings","6 Games","Vancouver Canucks","7 Games","Boston Bruins","4 Games","Washington Capitals","7 Games"
"N/A","Results","Detroit Red Wings","7 Games","Chicago Blackhawks","6 Games","Carolina Hurricanes","7 Games","Pittsburgh Penguins","7 Games"
