"Timestamp","Name:","DET-PIT","DET-PIT series length:"
"N/A","Andre D","Detroit Red Wings","6 Games"
"N/A","Andrew D","Detroit Red Wings","6 Games"
"N/A","Andy H","Pittsburgh Penguins","7 Games"
"N/A","David D","Pittsburgh Penguins","5 Games"
"N/A","Harry L","Pittsburgh Penguins","6 Games"
"N/A","Isamu M","Pittsburgh Penguins","7 Games"
"N/A","Kollin H","Detroit Red Wings","7 Games"
"N/A","Kyle L","Detroit Red Wings","5 Games"
"N/A","Mark D","Pittsburgh Penguins","7 Games"
"N/A","Michael D","Pittsburgh Penguins","7 Games"
"N/A","Sheldon L","Pittsburgh Penguins","6 Games"
"N/A","Thomas L","Detroit Red Wings","6 Games"
"N/A","Results","Pittsburgh Penguins","7 Games"
