"Timestamp","Name:","SJS-DET","SJS-DET series length:","CHI-VAN","CHI-VAN series length:","PIT-MTL","PIT-MTL series length:","BOS-PHI","BOS-PHI series length:"
"N/A","Alita D","San Jose Sharks","6 Games","Vancouver Canucks","7 Games","Montreal Canadiens","6 Games","Philadelphia Flyers","5 Games"
"N/A","Andre D","San Jose Sharks","7 Games","Vancouver Canucks","7 Games","Pittsburgh Penguins","6 Games","Philadelphia Flyers","7 Games"
"N/A","Charmaine L","Detroit Red Wings","7 Games","Vancouver Canucks","7 Games","Pittsburgh Penguins","6 Games","Philadelphia Flyers","6 Games"
"N/A","David D","Detroit Red Wings","6 Games","Chicago Blackhawks","6 Games","Pittsburgh Penguins","6 Games","Philadelphia Flyers","7 Games"
"N/A","Kollin H","San Jose Sharks","6 Games","Chicago Blackhawks","6 Games","Pittsburgh Penguins","5 Games","Boston Bruins","6 Games"
"N/A","Kyle L","Detroit Red Wings","6 Games","Vancouver Canucks","6 Games","Montreal Canadiens","7 Games","Philadelphia Flyers","6 Games"
"N/A","Mark D","Detroit Red Wings","6 Games","Chicago Blackhawks","7 Games","Pittsburgh Penguins","6 Games","Philadelphia Flyers","6 Games"
"N/A","Michael D","Detroit Red Wings","5 Games","Vancouver Canucks","7 Games","Pittsburgh Penguins","6 Games","Boston Bruins","6 Games"
"N/A","Thomas L","Detroit Red Wings","6 Games","Chicago Blackhawks","6 Games","Pittsburgh Penguins","6 Games","Philadelphia Flyers","7 Games"
"N/A","Results","San Jose Sharks","5 Games","Chicago Blackhawks","6 Games","Montreal Canadiens","7 Games","Philadelphia Flyers","7 Games"
