"Timestamp","Name:","VAN-CHI","VAN-CHI series length:","SJS-LAK","SJS-LAK series length:","DET-PHX","DET-PHX series length:","ANA-NSH","ANA-NSH series length:","WSH-NYR","WSH-NYR series length:","PHI-BUF","PHI-BUF series length:","BOS-MTL","BOS-MTL series length:","PIT-TBL","PIT-TBL series length:","Who will win the Western Conference?","Who will win the Eastern Conference?","Who will win the Stanley Cup?"
"N/A","Alita D","Vancouver Canucks","6 Games","Los Angeles Kings","7 Games","Detroit Red Wings","5 Games","Nashville Predators","6 Games","Washington Capitals","5 Games","Philadelphia Flyers","4 Games","Montreal Canadiens","6 Games","Pittsburgh Penguins","7 Games","Detroit Red Wings","Philadelphia Flyers","Philadelphia Flyers"
"N/A","Andre D","Vancouver Canucks","6 Games","San Jose Sharks","6 Games","Detroit Red Wings","5 Games","Anaheim Ducks","6 Games","New York Rangers","6 Games","Philadelphia Flyers","5 Games","Boston Bruins","6 Games","Pittsburgh Penguins","7 Games","Vancouver Canucks","Boston Bruins","Vancouver Canucks"
"N/A","Andrew D","Vancouver Canucks","6 Games","Los Angeles Kings","6 Games","Detroit Red Wings","6 Games","Anaheim Ducks","6 Games","Washington Capitals","6 Games","Buffalo Sabres","6 Games","Montreal Canadiens","6 Games","Pittsburgh Penguins","6 Games","Vancouver Canucks","Washington Capitals","Vancouver Canucks"
"N/A","Andy H","Vancouver Canucks","5 Games","San Jose Sharks","6 Games","Detroit Red Wings","5 Games","Anaheim Ducks","6 Games","Washington Capitals","6 Games","Philadelphia Flyers","5 Games","Boston Bruins","6 Games","Tampa Bay Lightning","7 Games","Vancouver Canucks","Washington Capitals","Washington Capitals"
"N/A","Charmaine L","Vancouver Canucks","4 Games","San Jose Sharks","5 Games","Detroit Red Wings","5 Games","Nashville Predators","5 Games","New York Rangers","6 Games","Philadelphia Flyers","4 Games","Montreal Canadiens","6 Games","Pittsburgh Penguins","5 Games","Vancouver Canucks","Pittsburgh Penguins","Vancouver Canucks"
"N/A","David D","Vancouver Canucks","6 Games","San Jose Sharks","5 Games","Phoenix Coyotes","7 Games","Anaheim Ducks","7 Games","New York Rangers","6 Games","Philadelphia Flyers","6 Games","Boston Bruins","7 Games","Tampa Bay Lightning","6 Games","San Jose Sharks","Boston Bruins","Boston Bruins"
"N/A","Kollin H","Vancouver Canucks","6 Games","San Jose Sharks","6 Games","Detroit Red Wings","6 Games","Nashville Predators","6 Games","Washington Capitals","6 Games","Philadelphia Flyers","6 Games","Boston Bruins","5 Games","Pittsburgh Penguins","6 Games","Vancouver Canucks","Philadelphia Flyers","Philadelphia Flyers"
"N/A","Kyle L","Vancouver Canucks","4 Games","San Jose Sharks","6 Games","Detroit Red Wings","6 Games","Anaheim Ducks","5 Games","Washington Capitals","6 Games","Philadelphia Flyers","6 Games","Montreal Canadiens","5 Games","Tampa Bay Lightning","7 Games","Vancouver Canucks","Philadelphia Flyers","Vancouver Canucks"
"N/A","Mark D","Vancouver Canucks","6 Games","San Jose Sharks","4 Games","Detroit Red Wings","4 Games","Anaheim Ducks","5 Games","Washington Capitals","4 Games","Philadelphia Flyers","7 Games","Montreal Canadiens","5 Games","Tampa Bay Lightning","6 Games","San Jose Sharks","Tampa Bay Lightning","San Jose Sharks"
"N/A","Michael D","Vancouver Canucks","5 Games","San Jose Sharks","6 Games","Detroit Red Wings","4 Games","Nashville Predators","6 Games","Washington Capitals","4 Games","Philadelphia Flyers","5 Games","Boston Bruins","6 Games","Tampa Bay Lightning","6 Games","Vancouver Canucks","Boston Bruins","Vancouver Canucks"
"N/A","Thomas L","Vancouver Canucks","6 Games","San Jose Sharks","6 Games","Phoenix Coyotes","7 Games","Nashville Predators","6 Games","Washington Capitals","5 Games","Philadelphia Flyers","7 Games","Montreal Canadiens","5 Games","Pittsburgh Penguins","6 Games","Vancouver Canucks","Washington Capitals","Vancouver Canucks"
"N/A","Results","Vancouver Canucks","7 Games","San Jose Sharks","6 Games","Detroit Red Wings","4 Games","Nashville Predators","6 Games","Washington Capitals","5 Games","Philadelphia Flyers","7 Games","Boston Bruins","7 Games","Tampa Bay Lightning","7 Games","Vancouver Canucks","Boston Bruins","Boston Bruins"
