"Timestamp","Name:","NAS-WPG","NAS-WPG series length:","VGK-SJS","VGK-SJS series length:","TBL-BOS","TBL-BOS series length:","WAS-PIT","WAS-PIT series length:"
"2018/04/25 11:25:41 pm GMT-5","Kollin","Nashville Predators","6 Games","San Jose Sharks","6 Games","Boston Bruins","6 Games","Washington Capitals","6 Games"
"2018/04/26 12:09:05 am GMT-5","Jackson","Nashville Predators","6 Games","San Jose Sharks","6 Games","Tampa Bay Lightning","5 Games","Washington Capitals","7 Games"
"2018/04/26 12:48:22 am GMT-5","Andre","Winnipeg Jets","6 Games","Vegas Golden Knights","6 Games","Boston Bruins","6 Games","Pittsburgh Penguins","7 Games"
"2018/04/26 6:47:48 am GMT-5","Andrew","Nashville Predators","6 Games","Vegas Golden Knights","6 Games","Boston Bruins","6 Games","Washington Capitals","7 Games"
"2018/04/26 8:22:40 am GMT-5","David","Winnipeg Jets","7 Games","Vegas Golden Knights","6 Games","Tampa Bay Lightning","5 Games","Pittsburgh Penguins","6 Games"
"2018/04/26 10:05:50 am GMT-5","Kyle","Winnipeg Jets","6 Games","Vegas Golden Knights","6 Games","Tampa Bay Lightning","6 Games","Washington Capitals","7 Games"
"2018/04/26 10:14:08 am GMT-5","Ron","Winnipeg Jets","7 Games","Vegas Golden Knights","6 Games","Boston Bruins","7 Games","Washington Capitals","7 Games"
"2018/04/26 4:32:56 pm GMT-5","Andrés ","Winnipeg Jets","6 Games","Vegas Golden Knights","5 Games","Tampa Bay Lightning","6 Games","Pittsburgh Penguins","7 Games"
"2018/04/26 6:00:31 pm GMT-5","Anthony","Nashville Predators","6 Games","Vegas Golden Knights","6 Games","Tampa Bay Lightning","6 Games","Pittsburgh Penguins","5 Games"
"2018/04/26 6:15:22 pm GMT-5","Romulus","Nashville Predators","5 Games","Vegas Golden Knights","6 Games","Tampa Bay Lightning","6 Games","Pittsburgh Penguins","6 Games"
"2018/04/26 6:32:18 pm GMT-5","Brian","Nashville Predators","7 Games","San Jose Sharks","6 Games","Boston Bruins","6 Games","Pittsburgh Penguins","6 Games"
"2018/04/26 8:16:15 pm GMT-5","Michael D","Winnipeg Jets","6 Games","Vegas Golden Knights","5 Games","Tampa Bay Lightning","5 Games","Washington Capitals","6 Games"
"2018/04/28 8:47:34 am GMT-5","Josh","Winnipeg Jets","6 Games","Vegas Golden Knights","5 Games","Tampa Bay Lightning","6 Games","Pittsburgh Penguins","6 Games"
