"Timestamp","Name:","VGK-WPG","VGK-WPG series length:","TBL-WAS","TBL-WAS series length:"
"2018/05/10 11:34:14 pm GMT-5","Kollin","Vegas Golden Knights","6 Games","Tampa Bay Lightning","5 Games"
"2018/05/11 12:24:23 am GMT-5","Jackson","Vegas Golden Knights","5 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 12:29:07 am GMT-5","Kyle","Winnipeg Jets","6 Games","Washington Capitals","6 Games"
"2018/05/11 12:31:29 am GMT-5","Kyle","Winnipeg Jets","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 2:09:29 am GMT-5","Andrés","Winnipeg Jets","6 Games","Washington Capitals","5 Games"
"2018/05/11 4:23:53 am GMT-5","Andrew","Winnipeg Jets","5 Games","Washington Capitals","5 Games"
"2018/05/11 5:11:25 am GMT-5","Ron","Winnipeg Jets","7 Games","Washington Capitals","6 Games"
"2018/05/11 7:35:20 am GMT-5","David","Winnipeg Jets","7 Games","Tampa Bay Lightning","5 Games"
"2018/05/11 2:29:40 pm GMT-5","Andre","Vegas Golden Knights","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 5:32:35 pm GMT-5","Michael D","Winnipeg Jets","6 Games","Tampa Bay Lightning","7 Games"
"2018/05/11 6:48:19 pm GMT-5","Anthony ","Winnipeg Jets","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 7:52:52 pm GMT-5","Romulus","Winnipeg Jets","4 Games","Washington Capitals","7 Games"
"2018/05/11 7:53:32 pm GMT-5","Brian","Winnipeg Jets","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/12 11:33:42 am GMT-5","Josh","Winnipeg Jets","6 Games","Tampa Bay Lightning","7 Games"
