"Timestamp","Name:","WPG-VGK","WPG-VGK series length:","TBL-WSH","TBL-WSH series length:"
"2018/05/11 12:34:14 am GMT-4","Results","Vegas Golden Knights","5 Games","Washington Capitals","7 Games"
"2018/05/11 12:34:14 am GMT-4","Kollin H","Vegas Golden Knights","6 Games","Tampa Bay Lightning","5 Games"
"2018/05/11 1:24:23 am GMT-4","Jackson L","Vegas Golden Knights","5 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 1:31:29 am GMT-4","Kyle L","Winnipeg Jets","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 3:09:29 am GMT-4","Andres M","Winnipeg Jets","6 Games","Washington Capitals","5 Games"
"2018/05/11 5:23:53 am GMT-4","Andrew N","Winnipeg Jets","5 Games","Washington Capitals","5 Games"
"2018/05/11 6:11:25 am GMT-4","Ron K","Winnipeg Jets","7 Games","Washington Capitals","6 Games"
"2018/05/11 8:35:20 am GMT-4","David D","Winnipeg Jets","7 Games","Tampa Bay Lightning","5 Games"
"2018/05/11 3:29:40 pm GMT-4","Andre D","Vegas Golden Knights","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 6:32:35 pm GMT-4","Michael D","Winnipeg Jets","6 Games","Tampa Bay Lightning","7 Games"
"2018/05/11 7:48:19 pm GMT-4","Anthony C","Winnipeg Jets","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/11 8:52:52 pm GMT-4","Romulus","Winnipeg Jets","4 Games","Washington Capitals","7 Games"
"2018/05/11 8:53:32 pm GMT-4","Brian M","Winnipeg Jets","6 Games","Tampa Bay Lightning","6 Games"
"2018/05/12 12:33:42 pm GMT-4","Josh H","Winnipeg Jets","6 Games","Tampa Bay Lightning","7 Games"
