"Timestamp","Name:","DAL-STL","DAL-STL series length:","Who will score more points?","COL-SJS","COL-SJS series length:","Who will score more points?","CBJ-BOS","CBJ-BOS series length:","Who will score more points?","CAR-NYI","CAR-NYI series length:","Who will score more points?"
"2019/04/24 11:33:30 pm GMT-5","Jackk","Dallas Stars","6 Games","Tyler Seguin (DAL - 80 points)","San Jose Sharks","6 Games","Nathan MacKinnon (COL - 99 points)","Boston Bruins","6 Games","Artemi Panarin (CBJ - 87 points)","Carolina Hurricanes","6 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/24 11:42:28 pm GMT-5","Nathan","St Louis Blues","6 Games","Ryan O'Reilly (STL - 77 points)","Colorado Avalanche","6 Games","Nathan MacKinnon (COL - 99 points)","Columbus Blue Jackets","6 Games","Artemi Panarin (CBJ - 87 points)","Carolina Hurricanes","6 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/24 11:46:23 pm GMT-5","Jon","St Louis Blues","7 Games","Tyler Seguin (DAL - 80 points)","Colorado Avalanche","6 Games","Nathan MacKinnon (COL - 99 points)","Boston Bruins","7 Games","Brad Marchand (BOS - 100 points)","New York Islanders","6 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/25 12:12:12 am GMT-5","Mark","St Louis Blues","6 Games","Ryan O'Reilly (STL - 77 points)","San Jose Sharks","6 Games","Nathan MacKinnon (COL - 99 points)","Boston Bruins","7 Games","Brad Marchand (BOS - 100 points)","Carolina Hurricanes","6 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/25 6:25:13 am GMT-5","Kyle","St Louis Blues","6 Games","Tyler Seguin (DAL - 80 points)","San Jose Sharks","6 Games","Nathan MacKinnon (COL - 99 points)","Columbus Blue Jackets","6 Games","Artemi Panarin (CBJ - 87 points)","New York Islanders","6 Games","Matthew Barzal (NYI - 62 points)"
"2019/04/25 8:37:22 am GMT-5","Josh","St Louis Blues","6 Games","Ryan O'Reilly (STL - 77 points)","Colorado Avalanche","7 Games","Nathan MacKinnon (COL - 99 points)","Columbus Blue Jackets","6 Games","Brad Marchand (BOS - 100 points)","New York Islanders","6 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/25 11:30:50 am GMT-5","Brian ""Davidsbane"" Malecki","St Louis Blues","6 Games","Tyler Seguin (DAL - 80 points)","Colorado Avalanche","6 Games","Nathan MacKinnon (COL - 99 points)","Columbus Blue Jackets","6 Games","Brad Marchand (BOS - 100 points)","New York Islanders","5 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/25 12:00:54 pm GMT-5","David","Dallas Stars","6 Games","Ryan O'Reilly (STL - 77 points)","San Jose Sharks","5 Games","Nathan MacKinnon (COL - 99 points)","Columbus Blue Jackets","6 Games","Brad Marchand (BOS - 100 points)","Carolina Hurricanes","7 Games","Matthew Barzal (NYI - 62 points)"
"2019/04/25 12:25:17 pm GMT-5","Andrew","Dallas Stars","5 Games","Tyler Seguin (DAL - 80 points)","Colorado Avalanche","6 Games","Nathan MacKinnon (COL - 99 points)","Boston Bruins","7 Games","Brad Marchand (BOS - 100 points)","New York Islanders","5 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/25 12:42:08 pm GMT-5","Kollin ","St Louis Blues","6 Games","Ryan O'Reilly (STL - 77 points)","San Jose Sharks","6 Games","Nathan MacKinnon (COL - 99 points)","Boston Bruins","5 Games","Brad Marchand (BOS - 100 points)","New York Islanders","6 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/25 3:00:47 pm GMT-5","Alita","St Louis Blues","6 Games","Ryan O'Reilly (STL - 77 points)","San Jose Sharks","5 Games","Nathan MacKinnon (COL - 99 points)","Boston Bruins","7 Games","Brad Marchand (BOS - 100 points)","Carolina Hurricanes","6 Games","Matthew Barzal (NYI - 62 points)"
"2019/04/25 3:27:15 pm GMT-5","Andre","St Louis Blues","6 Games","Tyler Seguin (DAL - 80 points)","San Jose Sharks","6 Games","Brent Burns (SJS - 83 points)","Columbus Blue Jackets","7 Games","Brad Marchand (BOS - 100 points)","Carolina Hurricanes","6 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/25 5:45:39 pm GMT-5","Anthony ","St Louis Blues","6 Games","Tyler Seguin (DAL - 80 points)","San Jose Sharks","6 Games","Nathan MacKinnon (COL - 99 points)","Boston Bruins","5 Games","Brad Marchand (BOS - 100 points)","New York Islanders","5 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/25 6:32:25 pm GMT-5","Jeremy","Dallas Stars","6 Games","Tyler Seguin (DAL - 80 points)","Colorado Avalanche","7 Games","Nathan MacKinnon (COL - 99 points)","Boston Bruins","5 Games","Brad Marchand (BOS - 100 points)","New York Islanders","6 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/25 10:51:36 pm GMT-5","Andres","Dallas Stars","6 Games","Tyler Seguin (DAL - 80 points)","San Jose Sharks","6 Games","Nathan MacKinnon (COL - 99 points)","Boston Bruins","5 Games","Brad Marchand (BOS - 100 points)","New York Islanders","6 Games","Sebastian Aho (CAR - 83 points)"
"2019/04/26 9:00:55 pm GMT-5","Michael","St Louis Blues","6 Games","Ryan O'Reilly (STL - 77 points)","Colorado Avalanche","6 Games","Nathan MacKinnon (COL - 99 points)","Boston Bruins","5 Games","Brad Marchand (BOS - 100 points)","Carolina Hurricanes","6 Games","Matthew Barzal (NYI - 62 points)"
