"Timestamp","Name:","","STL-DAL","STL-DAL series length:","STL-DAL Who will score more points?","SJS-COL","SJS-COL series length:","SJS-COL Who will score more points?","BOS-CBJ","BOS-CBJ series length:","BOS-CBJ Who will score more points?","NYI-CAR","NYI-CAR series length:","NYI-CAR Who will score more points?"
"2019/04/24 11:33:30 pm GMT-5","Results","","St Louis Blues","7 Games","tie","San Jose Sharks","6 Games","Brent Burns","Boston Bruins","6 Games","Artemi Panarin","Carolina Hurricanes","4 Games","Sebastian Aho"
"2019/04/24 11:33:30 pm GMT-5","Jackson L","Jackk","Dallas Stars","6 Games","Tyler Seguin","San Jose Sharks","6 Games","Nathan MacKinnon","Boston Bruins","6 Games","Artemi Panarin","Carolina Hurricanes","6 Games","Sebastian Aho"
"2019/04/24 11:42:28 pm GMT-5","Nathan S","","St Louis Blues","6 Games","Ryan O'Reilly","Colorado Avalanche","6 Games","Nathan MacKinnon","Columbus Blue Jackets","6 Games","Artemi Panarin","Carolina Hurricanes","6 Games","Sebastian Aho"
"2019/04/24 11:46:23 pm GMT-5","Jonathan M","Jon","St Louis Blues","7 Games","Tyler Seguin","Colorado Avalanche","6 Games","Nathan MacKinnon","Boston Bruins","7 Games","Brad Marchand","New York Islanders","6 Games","Sebastian Aho"
"2019/04/25 12:12:12 am GMT-5","Mark D","","St Louis Blues","6 Games","Ryan O'Reilly","San Jose Sharks","6 Games","Nathan MacKinnon","Boston Bruins","7 Games","Brad Marchand","Carolina Hurricanes","6 Games","Sebastian Aho"
"2019/04/25 6:25:13 am GMT-5","Kyle L","","St Louis Blues","6 Games","Tyler Seguin","San Jose Sharks","6 Games","Nathan MacKinnon","Columbus Blue Jackets","6 Games","Artemi Panarin","New York Islanders","6 Games","Matthew Barzal"
"2019/04/25 8:37:22 am GMT-5","Josh H","","St Louis Blues","6 Games","Ryan O'Reilly","Colorado Avalanche","7 Games","Nathan MacKinnon","Columbus Blue Jackets","6 Games","Brad Marchand","New York Islanders","6 Games","Sebastian Aho"
"2019/04/25 11:30:50 am GMT-5","Brian M","Brian ``Davidsbane'' M","St Louis Blues","6 Games","Tyler Seguin","Colorado Avalanche","6 Games","Nathan MacKinnon","Columbus Blue Jackets","6 Games","Brad Marchand","New York Islanders","5 Games","Sebastian Aho"
"2019/04/25 12:00:54 pm GMT-5","David D","","Dallas Stars","6 Games","Ryan O'Reilly","San Jose Sharks","5 Games","Nathan MacKinnon","Columbus Blue Jackets","6 Games","Brad Marchand","Carolina Hurricanes","7 Games","Matthew Barzal"
"2019/04/25 12:25:17 pm GMT-5","Andrew N","","Dallas Stars","5 Games","Tyler Seguin","Colorado Avalanche","6 Games","Nathan MacKinnon","Boston Bruins","7 Games","Brad Marchand","New York Islanders","5 Games","Sebastian Aho"
"2019/04/25 12:42:08 pm GMT-5","Kollin H","","St Louis Blues","6 Games","Ryan O'Reilly","San Jose Sharks","6 Games","Nathan MacKinnon","Boston Bruins","5 Games","Brad Marchand","New York Islanders","6 Games","Sebastian Aho"
"2019/04/25 3:00:47 pm GMT-5","Alita D","","St Louis Blues","6 Games","Ryan O'Reilly","San Jose Sharks","5 Games","Nathan MacKinnon","Boston Bruins","7 Games","Brad Marchand","Carolina Hurricanes","6 Games","Matthew Barzal"
"2019/04/25 3:27:15 pm GMT-5","Andre D","","St Louis Blues","6 Games","Tyler Seguin","San Jose Sharks","6 Games","Brent Burns","Columbus Blue Jackets","7 Games","Brad Marchand","Carolina Hurricanes","6 Games","Sebastian Aho"
"2019/04/25 5:45:39 pm GMT-5","Anthony C","","St Louis Blues","6 Games","Tyler Seguin","San Jose Sharks","6 Games","Nathan MacKinnon","Boston Bruins","5 Games","Brad Marchand","New York Islanders","5 Games","Sebastian Aho"
"2019/04/25 6:32:25 pm GMT-5","Jeremy B","","Dallas Stars","6 Games","Tyler Seguin","Colorado Avalanche","7 Games","Nathan MacKinnon","Boston Bruins","5 Games","Brad Marchand","New York Islanders","6 Games","Sebastian Aho"
"2019/04/25 10:51:36 pm GMT-5","Andres M","","Dallas Stars","6 Games","Tyler Seguin","San Jose Sharks","6 Games","Nathan MacKinnon","Boston Bruins","5 Games","Brad Marchand","New York Islanders","6 Games","Sebastian Aho"
"2019/04/26 9:00:55 pm GMT-5","Michael D","","St Louis Blues","6 Games","Ryan O'Reilly","Colorado Avalanche","6 Games","Nathan MacKinnon","Boston Bruins","5 Games","Brad Marchand","Carolina Hurricanes","6 Games","Matthew Barzal"
