"Timestamp","Name:","STL-SJS","STL-SJS series length:","Who will score more points?","BOS-CAR","BOS-CAR series length:","Who will score more points?","How many overtime games will occur this round?"
"2019/05/09 7:46:47 pm GMT-5","Jon M","San Jose Sharks","7 Games","Brent Burns (SJS)","Boston Bruins","6 Games","Sebastian Aho (CAR)","More than 3"
"2019/05/09 8:11:41 pm GMT-5","Jeremy","San Jose Sharks","6 Games","Brent Burns (SJS)","Boston Bruins","7 Games","Brad Marchand (BOS)","3"
"2019/05/09 8:34:59 pm GMT-5","Jackk","San Jose Sharks","6 Games","Brent Burns (SJS)","Carolina Hurricanes","6 Games","Sebastian Aho (CAR)","More than 3"
"2019/05/09 8:35:50 pm GMT-5","Josh","San Jose Sharks","7 Games","Ryan O'Reilly (STL)","Carolina Hurricanes","6 Games","Sebastian Aho (CAR)","2"
"2019/05/09 10:04:24 pm GMT-5","Michael","San Jose Sharks","6 Games","Brent Burns (SJS)","Boston Bruins","6 Games","Sebastian Aho (CAR)","3"
"2019/05/10 12:04:07 am GMT-5","Kyle","San Jose Sharks","6 Games","Brent Burns (SJS)","Carolina Hurricanes","5 Games","Sebastian Aho (CAR)","More than 3"
"2019/05/10 1:36:02 am GMT-5","Alita","St Louis Blues","6 Games","Ryan O'Reilly (STL)","Boston Bruins","5 Games","Brad Marchand (BOS)","2"
"2019/05/10 7:16:38 am GMT-5","Goliath 2","San Jose Sharks","6 Games","Brent Burns (SJS)","Boston Bruins","6 Games","Brad Marchand (BOS)","2"
"2019/05/10 3:22:04 pm GMT-5","Kollin","San Jose Sharks","7 Games","Ryan O'Reilly (STL)","Carolina Hurricanes","6 Games","Sebastian Aho (CAR)","2"
"2019/05/10 3:43:30 pm GMT-5","Andrés","San Jose Sharks","6 Games","Brent Burns (SJS)","Boston Bruins","6 Games","Sebastian Aho (CAR)","3"
"2019/05/10 4:49:45 pm GMT-5","David","San Jose Sharks","6 Games","Brent Burns (SJS)","Boston Bruins","5 Games","Brad Marchand (BOS)","2"
"2019/05/10 5:17:27 pm GMT-5","Mark","St Louis Blues","6 Games","Brent Burns (SJS)","Carolina Hurricanes","7 Games","Brad Marchand (BOS)","3"
"2019/05/10 5:45:59 pm GMT-5","Anthony ","San Jose Sharks","6 Games","Brent Burns (SJS)","Carolina Hurricanes","6 Games","Sebastian Aho (CAR)","2"
"2019/05/10 7:17:30 pm GMT-5","Nathan St Pierre","San Jose Sharks","7 Games","Brent Burns (SJS)","Boston Bruins","6 Games","Sebastian Aho (CAR)","More than 3"
"2019/05/11 12:14:35 am GMT-5","Andre Deepwell","San Jose Sharks","7 Games","Brent Burns (SJS)","Boston Bruins","6 Games","Brad Marchand (BOS)","3"
