"Timestamp","Name:","STL-BOS","STL-BOS series length:","Who will score more points?","How many overtime games will occur this round?"
"2019/05/24 7:36:10 am GMT-5","Josh","St Louis Blues","6 Games","Brad Marchand (BOS)","1"
"2019/05/24 9:59:47 am GMT-5","Mark","Boston Bruins","7 Games","Brad Marchand (BOS)","1"
"2019/05/24 4:08:56 pm GMT-5","Kyle","St Louis Blues","6 Games","Ryan O'Reilly (STL)","2"
"2019/05/24 4:11:57 pm GMT-5","Brian","Boston Bruins","5 Games","Brad Marchand (BOS)","1"
"2019/05/25 9:12:05 am GMT-5","Nathan","St Louis Blues","6 Games","Ryan O'Reilly (STL)","2"
"2019/05/25 8:45:03 pm GMT-5","Jeremy","Boston Bruins","6 Games","Brad Marchand (BOS)","2"
"2019/05/26 10:29:24 am GMT-5","David","St Louis Blues","5 Games","Ryan O'Reilly (STL)","1"
"2019/05/26 6:41:11 pm GMT-5","Jackson","Boston Bruins","6 Games","Brad Marchand (BOS)","1"
"2019/05/27 12:23:02 am GMT-5","Jon McAuliffe","Boston Bruins","6 Games","Brad Marchand (BOS)","2"
"2019/05/27 6:51:53 pm GMT-5","Kollin","St Louis Blues","6 Games","Ryan O'Reilly (STL)","2"
"2019/05/27 7:42:22 pm GMT-5","Andre Deepwell","Boston Bruins","5 Games","Brad Marchand (BOS)","1"
"2019/05/27 9:50:40 pm GMT-5","Anthony","St Louis Blues","6 Games","Ryan O'Reilly (STL)","1"
"2019/06/12 10:59:11 pm GMT-5","Alita","St Louis Blues","6 Games","Brad Marchand (BOS)","2"
