"Timestamp","Name:","VGK-CHI","VGK-CHI series length:","COL-ARI","COL-ARI series length:","DAL-CGY","DAL-CGY series length:","STL-VAN","STL-VAN series length:","PHI-MTL","PHI-MTL series length:","TBL-CBJ","TBL-CBJ series length:","WAS-NYI","WAS-NYI series length:","BOS-CAR","BOS-CAR series length:","Who will win the Western Conference?","Who will win the Eastern Conference?","Who will win the Stanley Cup?"
"2020/08/10 10:14:08 pm GMT-5","Brandon ","Chicago Blackhawks","4 Games","Arizona Coyotes","5 Games","Dallas Stars","5 Games","St Louis Blues","4 Games","Montreal Canadiens","6 Games","Columbus Blue Jackets","5 Games","Washington Capitals","5 Games","Boston Bruins","5 Games","St Louis Blues","Washington Capitals","Washington Capitals"
"2020/08/10 10:14:55 pm GMT-5","Jackk","Vegas Golden Knights","6 Games","Colorado Avalanche","6 Games","Calgary Flames","6 Games","St Louis Blues","6 Games","Philadelphia Flyers","6 Games","Tampa Bay Lightning","6 Games","New York Islanders","6 Games","Carolina Hurricanes","6 Games","Colorado Avalanche","Carolina Hurricanes","Washington Capitals"
"2020/08/10 10:22:53 pm GMT-5","David D","Chicago Blackhawks","6 Games","Colorado Avalanche","5 Games","Dallas Stars","6 Games","St Louis Blues","6 Games","Philadelphia Flyers","7 Games","Tampa Bay Lightning","6 Games","Washington Capitals","7 Games","Boston Bruins","5 Games","Dallas Stars","Philadelphia Flyers","Boston Bruins"
"2020/08/10 10:48:09 pm GMT-5","Alisha Koumphol ","Chicago Blackhawks","5 Games","Colorado Avalanche","4 Games","Dallas Stars","6 Games","Vancouver Canucks","4 Games","Montreal Canadiens","4 Games","Tampa Bay Lightning","5 Games","New York Islanders","6 Games","Boston Bruins","6 Games","St Louis Blues","Montreal Canadiens","Montreal Canadiens"
"2020/08/10 10:52:40 pm GMT-5","Nathan St Pierre","Vegas Golden Knights","6 Games","Colorado Avalanche","5 Games","Dallas Stars","4 Games","St Louis Blues","6 Games","Philadelphia Flyers","5 Games","Tampa Bay Lightning","6 Games","New York Islanders","5 Games","Carolina Hurricanes","5 Games","Colorado Avalanche","Philadelphia Flyers","Colorado Avalanche"
"2020/08/10 10:54:18 pm GMT-5","Josh","Vegas Golden Knights","6 Games","Colorado Avalanche","5 Games","Calgary Flames","6 Games","Vancouver Canucks","7 Games","Philadelphia Flyers","5 Games","Columbus Blue Jackets","6 Games","New York Islanders","6 Games","Carolina Hurricanes","7 Games","Colorado Avalanche","Philadelphia Flyers","Colorado Avalanche"
"2020/08/10 11:16:53 pm GMT-5","Kyle","Vegas Golden Knights","6 Games","Colorado Avalanche","6 Games","Calgary Flames","7 Games","Vancouver Canucks","6 Games","Montreal Canadiens","7 Games","Tampa Bay Lightning","6 Games","Washington Capitals","6 Games","Carolina Hurricanes","6 Games","Vancouver Canucks","Montreal Canadiens","Vancouver Canucks"
"2020/08/11 8:29:17 am GMT-5","Brian M.","Vegas Golden Knights","5 Games","Colorado Avalanche","5 Games","Calgary Flames","7 Games","St Louis Blues","6 Games","Philadelphia Flyers","5 Games","Tampa Bay Lightning","5 Games","Washington Capitals","7 Games","Boston Bruins","6 Games","Colorado Avalanche","Boston Bruins","Colorado Avalanche"
"2020/08/11 3:20:51 pm GMT-5","Mark Deepwell","Vegas Golden Knights","5 Games","Colorado Avalanche","5 Games","Calgary Flames","7 Games","St Louis Blues","6 Games","Philadelphia Flyers","5 Games","Tampa Bay Lightning","6 Games","Washington Capitals","5 Games","Carolina Hurricanes","7 Games","Vegas Golden Knights","Philadelphia Flyers","Vegas Golden Knights"
"2020/08/11 3:26:45 pm GMT-5","Alita","Vegas Golden Knights","5 Games","Colorado Avalanche","6 Games","Calgary Flames","5 Games","St Louis Blues","6 Games","Montreal Canadiens","5 Games","Columbus Blue Jackets","5 Games","New York Islanders","6 Games","Carolina Hurricanes","5 Games","Vegas Golden Knights","New York Islanders","St Louis Blues"
"2020/08/11 6:33:12 pm GMT-5","Andrew Noble","Chicago Blackhawks","5 Games","Arizona Coyotes","5 Games","Calgary Flames","5 Games","Vancouver Canucks","5 Games","Montreal Canadiens","5 Games","Columbus Blue Jackets","5 Games","New York Islanders","5 Games","Carolina Hurricanes","5 Games","St Louis Blues","New York Islanders","Carolina Hurricanes"
"2020/08/11 8:23:42 pm GMT-5","Jonathan McAuliffe","Vegas Golden Knights","5 Games","Colorado Avalanche","5 Games","Dallas Stars","6 Games","St Louis Blues","4 Games","Philadelphia Flyers","5 Games","Tampa Bay Lightning","6 Games","Washington Capitals","6 Games","Carolina Hurricanes","7 Games","Vegas Golden Knights","Tampa Bay Lightning","Tampa Bay Lightning"
