"Timestamp","Name:","COL-STL","COL-STL series length:","VGK-MIN","VGK-MIN series length:","TOR-MTL","TOR-MTL series length:","EDM-WPG","EDM-WPG series length:","PIT-NYI","PIT-NYI series length:","WSH-BOS","WSH-BOS series length:","CAR-NSH","CAR-NSH series length:","FLA-TBL","FLA-TBL series length:","Who will win the ""Western"" Conference?","Who will win the ""Eastern"" Conference?","Who will win the Stanley Cup?"
"2021/05/14 11:44:30 pm GMT-5","Nathan St. Pierre","Colorado Avalanche","6 Games","Vegas Golden Knights","6 Games","Toronto Maple Leafs","7 Games","Edmonton Oilers","6 Games","Pittsburgh Penguins","6 Games","Boston Bruins","5 Games","Carolina Hurricanes","5 Games","Florida Panthers","7 Games","Edmonton Oilers","Boston Bruins","Edmonton Oilers"
"2021/05/14 11:51:11 pm GMT-5","Kyle","Colorado Avalanche","6 Games","Vegas Golden Knights","6 Games","Toronto Maple Leafs","7 Games","Edmonton Oilers","6 Games","Pittsburgh Penguins","6 Games","Washington Capitals","7 Games","Carolina Hurricanes","6 Games","Florida Panthers","6 Games","Colorado Avalanche","Carolina Hurricanes","Colorado Avalanche"
"2021/05/14 11:56:35 pm GMT-5","David Deepwell","Colorado Avalanche","5 Games","Vegas Golden Knights","4 Games","Toronto Maple Leafs","7 Games","Edmonton Oilers","7 Games","Pittsburgh Penguins","6 Games","Boston Bruins","7 Games","Carolina Hurricanes","5 Games","Tampa Bay Lightning","7 Games","Colorado Avalanche","Carolina Hurricanes","Boston Bruins"
"2021/05/15 12:00:01 am GMT-5","Tim Schwalfenberg","Colorado Avalanche","6 Games","Vegas Golden Knights","5 Games","Montreal Canadiens","7 Games","Edmonton Oilers","5 Games","New York Islanders","6 Games","Boston Bruins","6 Games","Carolina Hurricanes","4 Games","Tampa Bay Lightning","6 Games","Edmonton Oilers","Carolina Hurricanes","Edmonton Oilers"
"2021/05/15 12:19:59 am GMT-5","Jackson","Colorado Avalanche","6 Games","Vegas Golden Knights","6 Games","Toronto Maple Leafs","6 Games","Edmonton Oilers","6 Games","Pittsburgh Penguins","6 Games","Boston Bruins","6 Games","Carolina Hurricanes","6 Games","Tampa Bay Lightning","6 Games","Colorado Avalanche","Carolina Hurricanes","Toronto Maple Leafs"
"2021/05/15 11:32:11 am GMT-5","Andre Deepwell","Colorado Avalanche","6 Games","Vegas Golden Knights","7 Games","Toronto Maple Leafs","6 Games","Edmonton Oilers","6 Games","Pittsburgh Penguins","6 Games","Boston Bruins","6 Games","Carolina Hurricanes","6 Games","Florida Panthers","7 Games","Toronto Maple Leafs","Tampa Bay Lightning","Colorado Avalanche"
"2021/05/15 1:46:10 pm GMT-5","Josh H","Colorado Avalanche","5 Games","Vegas Golden Knights","6 Games","Toronto Maple Leafs","6 Games","Edmonton Oilers","5 Games","Pittsburgh Penguins","6 Games","Boston Bruins","7 Games","Carolina Hurricanes","4 Games","Florida Panthers","5 Games","Edmonton Oilers","Florida Panthers","Edmonton Oilers"
"2021/05/15 6:17:12 pm GMT-5","Anthony","Colorado Avalanche","6 Games","Vegas Golden Knights","6 Games","Montreal Canadiens","7 Games","Edmonton Oilers","5 Games","Pittsburgh Penguins","6 Games","Boston Bruins","6 Games","Carolina Hurricanes","5 Games","Florida Panthers","6 Games","Vegas Golden Knights","Boston Bruins","Carolina Hurricanes"
"2021/05/15 6:33:39 pm GMT-5","Brian M.","Colorado Avalanche","5 Games","Vegas Golden Knights","6 Games","Toronto Maple Leafs","5 Games","Edmonton Oilers","7 Games","New York Islanders","5 Games","Boston Bruins","7 Games","Carolina Hurricanes","4 Games","Tampa Bay Lightning","6 Games","Toronto Maple Leafs","Carolina Hurricanes","Carolina Hurricanes"
"2021/05/15 6:45:28 pm GMT-5","Andrew Noble","Colorado Avalanche","5 Games","Minnesota Wild","6 Games","Toronto Maple Leafs","6 Games","Edmonton Oilers","7 Games","Pittsburgh Penguins","4 Games","Washington Capitals","7 Games","Carolina Hurricanes","7 Games","Florida Panthers","4 Games","Toronto Maple Leafs","Tampa Bay Lightning","Minnesota Wild"
"2021/05/15 7:31:07 pm GMT-5","Alisha K","St Louis Blues","5 Games","Vegas Golden Knights","6 Games","Montreal Canadiens","5 Games","Edmonton Oilers","5 Games","Pittsburgh Penguins","6 Games","Boston Bruins","6 Games","Nashville Predators","6 Games","Florida Panthers","5 Games","Colorado Avalanche","Pittsburgh Penguins","Colorado Avalanche"
"2021/05/16 2:45:17 am GMT-5","Kollin","Colorado Avalanche","5 Games","Vegas Golden Knights","6 Games","Toronto Maple Leafs","6 Games","Edmonton Oilers","7 Games","Pittsburgh Penguins","5 Games","Boston Bruins","6 Games","Carolina Hurricanes","6 Games","Tampa Bay Lightning","6 Games","Colorado Avalanche","Florida Panthers","Florida Panthers"
"2021/05/16 1:48:57 pm GMT-5","Jonathan McAuliffe ","Colorado Avalanche","6 Games","Vegas Golden Knights","6 Games","Toronto Maple Leafs","7 Games","Edmonton Oilers","6 Games","Pittsburgh Penguins","6 Games","Boston Bruins","6 Games","Carolina Hurricanes","4 Games","Florida Panthers","7 Games","Vegas Golden Knights","Florida Panthers","Carolina Hurricanes"
"2021/05/17 8:54:16 am GMT-5","Ron","Colorado Avalanche","6 Games","Vegas Golden Knights","7 Games","Toronto Maple Leafs","6 Games","Edmonton Oilers","7 Games","Pittsburgh Penguins","6 Games","Washington Capitals","7 Games","Carolina Hurricanes","6 Games","Tampa Bay Lightning","6 Games","Toronto Maple Leafs","Carolina Hurricanes","Toronto Maple Leafs"
